Title,Description,Keywords,Reward,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.feedback,Answer.q_question-3D-0,Answer.q_question-3D-1,Answer.q_question-3D-2,Answer.q_question-3D-3,Answer.q_question-3D-4,Answer.q_question-3D-5,Answer.q_question-3D-6,Answer.q_question-stacked-1,Answer.q_question-stacked-2,Answer.q_question-stacked-3,Answer.q_question-stacked-4,Answer.q_question-stacked-5,Answer.q_question-stacked-6,Answer.tm,Approve,Reject,UPDATE-moral-parliament-q
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3151,Submitted,Wed Aug 30 18:01:02 PDT 2023,Wed Aug 30 18:32:25 PDT 2023,Thu Aug 31 18:32:25 PDT 2023,,,,1883,100% (309/309),100% (1/1),0% (0/0),{},2,A,three,two,A,one,three,B,two,three,A,three,one,152.796,,,3
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3152,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:29:25 PDT 2023,Thu Aug 31 16:29:25 PDT 2023,,,,1746,100% (38/38),100% (3/3),100% (1/1),{},elephant,B,two,two,A,one,one,A,two,three,B,one,three,295.184,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3153,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:59:06 PDT 2023,Thu Aug 31 16:59:06 PDT 2023,,,,3527,100% (8/8),100% (2/2),0% (0/0),This survey was useful information.,elephant,B,two,one,B,two,three,A,two,two,B,two,three,1630.459,,,6
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3154,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:06:44 PDT 2023,Thu Aug 31 16:06:44 PDT 2023,,,,385,100% (10/10),100% (1/1),0% (0/0),good,y,B,one,one,A,one,three,B,one,three,B,one,three,137.785,,,8
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3155,Submitted,Wed Aug 30 16:01:11 PDT 2023,Wed Aug 30 16:22:49 PDT 2023,Thu Aug 31 16:22:49 PDT 2023,,,,1298,0% (0/0),0% (0/0),0% (0/0),{},Y,B,two,two,B,one,one,A,one,one,A,one,three,310.629,,,8
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3156,Submitted,Wed Aug 30 15:00:10 PDT 2023,Wed Aug 30 15:39:09 PDT 2023,Thu Aug 31 15:39:09 PDT 2023,,,,2339,100% (30471/30471),100% (6546/6546),100% (210/210),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,1498.092,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3157,Submitted,Wed Aug 30 15:00:21 PDT 2023,Wed Aug 30 15:13:03 PDT 2023,Thu Aug 31 15:13:03 PDT 2023,,,,762,100% (11/11),0% (0/0),0% (0/0),good,elephant,B,two,one,A,one,one,A,one,two,B,one,three,655.886,,,11
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3158,Submitted,Wed Aug 30 15:00:21 PDT 2023,Wed Aug 30 15:23:52 PDT 2023,Thu Aug 31 15:23:52 PDT 2023,,,,1411,100% (25768/25768),100% (3406/3406),100% (422/422),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,883.487,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3159,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:29:29 PDT 2023,Thu Aug 31 15:29:29 PDT 2023,,,,1771,100% (66/66),100% (2/2),0% (0/0),{},elephant,B,one,two,A,none,one,A,one,two,B,one,three,477.391,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3160,Submitted,Wed Aug 30 15:26:28 PDT 2023,Wed Aug 30 16:19:11 PDT 2023,Thu Aug 31 16:19:11 PDT 2023,,,,3163,100% (659/659),100% (1/1),0% (0/0),{},x2y2z2,A,two,two,A,one,one,A,one,two,B,one,three,222.447,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3161,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:43:33 PDT 2023,Thu Aug 31 15:43:33 PDT 2023,,,,2615,100% (58/58),100% (1/1),0% (0/0),{},elephant,B,one,two,A,none,one,A,one,two,B,one,three,1432.83,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3162,Submitted,Wed Aug 30 15:00:10 PDT 2023,Wed Aug 30 15:12:39 PDT 2023,Thu Aug 31 15:12:39 PDT 2023,,,,749,100% (3/3),100% (3/3),0% (0/0),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,730.649,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3163,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:11:43 PDT 2023,Thu Aug 31 15:11:43 PDT 2023,,,,705,100% (2/2),0% (0/0),0% (0/0),{},elephant,B,two,two,A,one,one,A,one,two,B,one,three,453.59,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3164,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:07:32 PDT 2023,Thu Aug 31 15:07:32 PDT 2023,,,,443,100% (16836/16836),100% (7/7),0% (0/0),{},elephant,B,two,one,A,one,one,A,one,two,B,one,three,323.684,,,11
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3165,Submitted,Wed Aug 30 15:17:39 PDT 2023,Wed Aug 30 16:13:34 PDT 2023,Thu Aug 31 16:13:34 PDT 2023,,,,3355,100% (8/8),100% (2/2),0% (0/0),Had a great time.,elephant,B,one,two,A,one,one,A,one,two,B,one,three,2065.541,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3166,Submitted,Wed Aug 30 15:00:20 PDT 2023,Wed Aug 30 15:18:14 PDT 2023,Thu Aug 31 15:18:14 PDT 2023,,,,1074,100% (287/287),100% (4/4),100% (2/2),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,1034.102,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3167,Submitted,Wed Aug 30 15:00:10 PDT 2023,Wed Aug 30 15:28:50 PDT 2023,Thu Aug 31 15:28:50 PDT 2023,,,,1720,100% (717/717),100% (686/686),100% (1/1),{},elephant,B,one,two,A,none,one,A,one,two,B,one,three,276.279,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3168,Submitted,Wed Aug 30 15:29:57 PDT 2023,Wed Aug 30 15:38:17 PDT 2023,Thu Aug 31 15:38:17 PDT 2023,,,,500,100% (3/3),100% (1/1),0% (0/0),{},elephant,B,one,two,A,one,three,A,one,two,B,one,three,474.136,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3169,Submitted,Wed Aug 30 16:50:13 PDT 2023,Wed Aug 30 17:13:11 PDT 2023,Thu Aug 31 17:13:11 PDT 2023,,,,1378,100% (150/150),100% (21/21),100% (21/21),No issues.,elephant,B,one,two,A,one,one,A,one,two,B,one,three,726.961,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3170,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:52:00 PDT 2023,Thu Aug 31 16:52:00 PDT 2023,,,,3101,100% (15/15),100% (1/1),0% (0/0),Had a great time.,elephant,B,one,two,A,one,one,A,one,two,B,one,three,588.657,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3171,Submitted,Wed Aug 30 14:59:57 PDT 2023,Wed Aug 30 15:17:45 PDT 2023,Thu Aug 31 15:17:45 PDT 2023,,,,1068,100% (55/55),100% (2/2),0% (0/0),{},0,B,one,two,A,one,one,A,one,two,B,one,three,443.745,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3172,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:13:23 PDT 2023,Thu Aug 31 16:13:23 PDT 2023,,,,784,100% (280/280),100% (3/3),0% (0/0),{},elephant,B,two,two,A,one,one,A,two,three,B,one,three,416.498,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3173,Submitted,Wed Aug 30 15:00:10 PDT 2023,Wed Aug 30 15:59:41 PDT 2023,Thu Aug 31 15:59:41 PDT 2023,,,,3571,100% (2033/2033),100% (1/1),0% (0/0),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,1045.782,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3174,Submitted,Wed Aug 30 17:00:41 PDT 2023,Wed Aug 30 17:34:13 PDT 2023,Thu Aug 31 17:34:13 PDT 2023,,,,2012,100% (52/52),100% (2/2),0% (0/0),{},b,B,two,two,A,three,one,B,one,two,C,three,one,88.58,,,6
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3175,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:20:14 PDT 2023,Thu Aug 31 15:20:14 PDT 2023,,,,1216,100% (8/8),0% (0/0),0% (0/0),{},elephant,B,one,one,A,none,one,A,one,two,B,one,three,645.338,,,11
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3176,Submitted,Wed Aug 30 15:01:22 PDT 2023,Wed Aug 30 15:47:19 PDT 2023,Thu Aug 31 15:47:19 PDT 2023,,,,2757,100% (30/30),0% (0/0),0% (0/0),{},horizontal axis,B,one,one,A,two,three,A,two,two,B,one,one,1159.683,,,7
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3177,Submitted,Wed Aug 30 15:33:01 PDT 2023,Wed Aug 30 15:52:07 PDT 2023,Thu Aug 31 15:52:07 PDT 2023,,,,1146,100% (76/76),100% (2/2),0% (0/0),{},y,B,one,two,C,one,two,B,two,three,A,three,two,107.897,,,4
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3178,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:33:36 PDT 2023,Thu Aug 31 15:33:36 PDT 2023,,,,2018,100% (730/730),100% (663/663),0% (0/0),none,elephant,B,one,two,A,none,one,A,one,two,B,one,three,346.489,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3179,Submitted,Wed Aug 30 17:01:01 PDT 2023,Wed Aug 30 18:00:27 PDT 2023,Thu Aug 31 18:00:27 PDT 2023,,,,3566,100% (290/290),100% (289/289),0% (0/0),{},triangle,B,one,two,A,three,two,B,three,one,B,three,three,114.078,,,6
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3180,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:36:27 PDT 2023,Thu Aug 31 15:36:27 PDT 2023,,,,2178,100% (12/12),0% (0/0),0% (0/0),{},elephant,B,one,two,A,one,three,A,one,two,B,one,three,1006.294,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3181,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:29:05 PDT 2023,Thu Aug 31 15:29:05 PDT 2023,,,,1747,100% (536/536),100% (479/479),0% (0/0),{},elephant,B,one,two,A,none,one,A,one,two,B,one,three,501.597,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3182,Submitted,Wed Aug 30 15:01:22 PDT 2023,Wed Aug 30 15:13:39 PDT 2023,Thu Aug 31 15:13:39 PDT 2023,,,,737,100% (2/2),100% (1/1),0% (0/0),This is interesting survey.,depth,C,three,two,A,one,two,A,one,two,B,one,three,599.21,,,9
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3183,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:30:04 PDT 2023,Thu Aug 31 15:30:04 PDT 2023,,,,1806,100% (53/53),100% (2/2),0% (0/0),none,elephant,B,one,two,A,none,one,A,one,two,B,one,three,401.657,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3184,Submitted,Wed Aug 30 15:07:23 PDT 2023,Wed Aug 30 15:43:56 PDT 2023,Thu Aug 31 15:43:56 PDT 2023,,,,2193,100% (47/47),0% (0/0),0% (0/0),{},0,B,two,two,A,one,one,A,two,three,B,one,three,658.339,,,9
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3185,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:51:11 PDT 2023,Thu Aug 31 15:51:11 PDT 2023,,,,3062,100% (6977/6977),100% (756/756),100% (131/131),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,1562.263,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3186,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:49:37 PDT 2023,Thu Aug 31 15:49:37 PDT 2023,,,,2968,100% (1414/1414),100% (732/732),100% (59/59),{},elephant,B,one,two,A,one,three,A,one,two,B,one,three,1093.572,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3187,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:21:35 PDT 2023,Thu Aug 31 16:21:35 PDT 2023,,,,1276,100% (6/6),0% (0/0),0% (0/0),{},B,B,three,two,A,one,one,A,one,two,B,one,three,983.607,,,11
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3188,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:24:53 PDT 2023,Thu Aug 31 15:24:53 PDT 2023,,,,1495,100% (380/380),100% (1/1),0% (0/0),{},elephant,A,two,two,A,none,three,A,one,two,B,one,three,776.779,,,9
